name,text
Virat Kohli,"To the best player of our times and the most inspirational person I've met, you can be very proud of what you've do… https://t.co/QAMfLINdkN"
Virat Kohli,May his teachings inspire us and his blessings be upon us. Happy Gurpurab to all. 🙏
Virat Kohli,🧿 https://t.co/ycfRJF8KbE
Virat Kohli,Great Learning Academy provides 1000s of free English &amp; Hindi courses for in-demand skills. Earn free certificates.… https://t.co/h9ZVpQI9Pp
Virat Kohli,"A great moment of pride and congratulations to all the Khel Ratna, Arjuna, Dronacharya and Adventure award winners.… https://t.co/WOLk1MTWOm"
Virat Kohli,Thank you for all the memories and the amazing journey we've had as a team with you all. Your contribution has been… https://t.co/aryEDVSs7t
Virat Kohli,Together as one we set out to achieve our goal.Unfortunately we fell short and no one is more disappointed than us… https://t.co/SaeD7Zr0Lq
Virat Kohli,Thank you everyone for the birthday wishes. It feels special and grateful for all the love. 🤗
Virat Kohli,"Clinical effort 🇮🇳🏏
#TeamIndia https://t.co/K2aODg9rRO"
Virat Kohli,May the festival of lights illuminate your life with joy and happiness. Happy Diwali. 🪔
Virat Kohli,🇮🇳 https://t.co/ViOqpw4kAh
Virat Kohli,Happy birthday Mike. Have a great day mate. @CoachHesson
Virat Kohli,🇮🇳 https://t.co/dzPWqWu8Om
Virat Kohli,"People: Big match on Sunday. You're nervous, right?

Me: https://t.co/HXDWeKrYFR"
Virat Kohli,❤️ https://t.co/Dfv0qh7sAQ
Virat Kohli,Congratulations for completing 50 years! @vitabiotics has empowered millions to improve their own health through in… https://t.co/rBNvblkaPM
Virat Kohli,"Shikhi, how's this one? 😉
@SDhawan25 https://t.co/nhq4q2CxSZ"
Virat Kohli,"Over the next few weeks, I'll be sharing a series of my personal tips for celebrating a meaningful Diwali with love… https://t.co/lLCendXWWZ"
Virat Kohli,Blown away and mesmerised by this kids talent @sanchitstyle. He is beyond exceptional. Hats off to you god bless yo… https://t.co/AQbgTocT60
Virat Kohli,This is what playing in bubbles feels like. https://t.co/e1rEf0pCEh
Virat Kohli,"Wishing everyone a very Happy Dussehra. May this festival bring joy, peace, happiness and prosperity to you and your loved ones."
Virat Kohli,Not the result we wanted but I am so proud of the character shown by the boys throughout the tournament. A disappoi… https://t.co/4mpMUu8Zo9
Virat Kohli,Happy birthday to the versatile and the evergreen @SrBachchan sir. 🎂🤗 Wishing you good health and happiness always.
Virat Kohli,"Anddddd the king is back ❤️the greatest finisher ever in the game. Made me jump Outta my seat once again tonight.
@msdhoni"
Virat Kohli,Downtime 😌 #recoverysesh https://t.co/47F7gkhInt
Virat Kohli,"Important win before the big match on Monday. Well played Bharat &amp; Maxi 👏👏
@RCBTweets https://t.co/qFEwKQLSsG"
Virat Kohli,"Results are not in your hands, but the effort is. https://t.co/Y5aZlndsX5"
Virat Kohli,Happy birthday hulk. Have a great day. God bless you 😘 @buntysajdeh https://t.co/UE5ITK8adi
Virat Kohli,"Prepping. 🏏
@RCBTweets https://t.co/Ef8yZ2fnC8"
Virat Kohli,Congratulations boys. Keep going. 💪💪 #RiseAgain https://t.co/ryffiTikXH
Virat Kohli,"#AD
Match-ready, sale ready. 😎 The @Flipkart #BigBillionDays sale is live. Happy shopping! https://t.co/EK8mclf9q1"
Virat Kohli,Good showing by the boys. We take it one game at a time 💪 https://t.co/eYR2VuGy8F
Virat Kohli,®️ E A D Y https://t.co/ODzobzAxGW
Virat Kohli,"#AD
Everyone needs some kind of support to keep going, and I’m no different. I get nutritional support for my body… https://t.co/io8qf50x9M"
Virat Kohli,Absolutely loving our new athleisure range 😍 https://t.co/f0SS4kXXZq
Virat Kohli,"#AD
The big flip is finally here, guys! Join me and absolutely flip it with Wrogn Casuals. Get your own pair from t… https://t.co/wwwIhbN7Lp"
Virat Kohli,"Way to go boys 👍
Showcasing fighting spirit and giving it all. Onto the next one 💪 @RCBTweets https://t.co/P55wJQgZAT"
Virat Kohli,🏏 https://t.co/VjCm3YuJGu
Virat Kohli,"#AD
Join The Wellman Movement with me to prove #AgeIsJustANumber.

Steps you need to follow:

1. Share a unique vid… https://t.co/Tzbij0EQ3c"
Virat Kohli,"Incredible win. Terrific character on display. 💯
Congrats Harshal on the hat-trick 👏 #PlayBold @RCBTweets https://t.co/ptz8MUaQPG"
Virat Kohli,"#AD 
Audi and I have always shared an incredible passion for progress. And today marks the launch of the Audi e-tro… https://t.co/FBtnaG0oWz"
Virat Kohli,Wishing @JayShah a very happy birthday. May god bless you. 😊
Virat Kohli,"Playing for a special cause tomorrow where we honour our frontline superheroes 💙
@RCBTweets @IPL https://t.co/nFmMzh9XfI"
Virat Kohli,"What an amazing journey it has been, from proudly wearing one8 as my jersey number, to building it into a brand clo… https://t.co/nl3dn5pjAF"
Virat Kohli,Warm birthday greetings to our honourable PM @narendramodi ji. May you be blessed with good health and happiness.
Virat Kohli,@JayShah Thank you Jay 😊
Virat Kohli,🇮🇳 ❤️ https://t.co/Ds7okjhj9J
Virat Kohli,"#AD
🚀💪 @Hyperice

I'm excited to join #TeamHyperice as their newest global ambassador and athlete investor. I'm alr… https://t.co/6ucx8sYPU0"
Virat Kohli,"Honoured to wear Blue for RCB on 20th September, to pay tribute to frontline warriors who have worked selflessly le… https://t.co/dfy0sT07ZG"
Virat Kohli,"We are proud to announce that after months of hard work, our Trauma &amp; Rehab Centre for Stray Animals in association… https://t.co/5vxTqdmseA"
Virat Kohli,Congratulations to all our para-athletes on your fantastic performance and record haul of winning 19 medals at the… https://t.co/rkoQMYV4pu
Virat Kohli,"#AD
Boot 🆙 for the cricket 🏏season with these cool kicks from @pumacricket #one8 https://t.co/7ruzMKVjtJ"
Virat Kohli,"Tough situations build strong people. Onto the next one. 
#TeamIndia 🇮🇳💪 https://t.co/fJx8A240MS"
Virat Kohli,There's literally no substitute to hard work. https://t.co/bvN4BevnEg
Virat Kohli,Sending my best wishes and support to the 🇮🇳 contingent at the Tokyo Paralympics. I am cheering for each one of you… https://t.co/ph7rtULz8J
Virat Kohli,"#ad
Recent times have been tough on each one of us. But with the support of each other, we have come out stronger.… https://t.co/CXLNdocEpi"
Virat Kohli,"What a game of cricket 👌
Everyone stepping up, love the commitment and attitude. Way to go boys 🇮🇳 💪 https://t.co/hSgmxkLiiP"
Virat Kohli,"#Partnership
No ⏸️. Just ▶️

Ace your day with one8 No Gas deodorants.

Go on... And on! For exclusive offers,
clic… https://t.co/vImzIfrKWu"
Virat Kohli,Work never stops. ⏳ https://t.co/5MpecW2Z2Q
Virat Kohli,"Congratulations to all our winners and participants at the Olympics. Winning and losing is a part of sport, but wha… https://t.co/MoKWz34Pvm"
Virat Kohli,Happy Birthday skip. I hope you have a blessed day like every other day in your life &amp; I always wish you the best.… https://t.co/j92e2avpE3
Virat Kohli,Stronger together https://t.co/7XKqNV5A4X
Virat Kohli,"Happy Friendship Day MRF (My Reliable Friend) @ABdeVilliers17 🤜🤛 @MRFWorldwide
#ad https://t.co/qxPK6Q1OvB"
Virat Kohli,"#OnlySeeGreat @pumacricket
#ad https://t.co/sisJoUcpUz"
Virat Kohli,✨ 📸- @AnushkaSharma https://t.co/F1YAW7VFkE
Virat Kohli,"Let's come together and support all our athletes participating in the #Tokyo Olympics 🇮🇳
#Cheer4India https://t.co/gSP2bOKpmq"
Virat Kohli,What a phenomenal race. Victory for #TeamIndia at the #LondonEPrix of @FIAFormulaE 🏎️ Goosebumps to hear the nation… https://t.co/vCVfRgw9Vc
Virat Kohli,Work done ✅ 🏋️‍♂️ https://t.co/i77zXbubTa
Virat Kohli,.@sportshonours is back with its third edition and I am glad to support this initiative which #honours the achievem… https://t.co/oDCerfqroc
Virat Kohli,Remember who you are and don’t let ANYONE convince you otherwise. ⏳ https://t.co/wz32WIc2Fk
Virat Kohli,Great win by the boys. From a tough situation to pull it off was an amazing effort. Great to watch. Well done DC an… https://t.co/UmpuiFOuJy
Virat Kohli,"When you absolutely love what you do, everything just flows ❤️🏏 https://t.co/ket7qq2vDg"
Virat Kohli,Back at it 🏏🇮🇳 https://t.co/HPsBXif2bm
Virat Kohli,"Today, an icon who was loved by generations passes away. Rest in peace Dilip ji. My condolences to the family 🙏"
Virat Kohli,Happy birthday skip 💙🇮🇳 @msdhoni https://t.co/ydUQXb7ZzK
Virat Kohli,🏋️🏋️‍♂️ https://t.co/Z6rkGcApPb
Virat Kohli,"Happy birthday Bhajju Pa. 
God bless you with a good life and lots of happiness. 🍰
@harbhajan_singh"
Virat Kohli,This isn’t just a team. It’s a family. We move ahead. TOGETHER 💙🇮🇳 https://t.co/E5ATtCGWLo
Virat Kohli,Happy father's day to all the father's all across the world. Of all the wonderful things that God has blessed me wi… https://t.co/eyqFiMIMhb
Virat Kohli,A legacy that inspired a whole nation to aim for excellence. To never give up and chase your dreams. Rest in Peace… https://t.co/hhYaUwUEkB
Virat Kohli,🇮🇳 https://t.co/efvCsjizpe
Virat Kohli,"I’ve tried my best moves😁 
I'm sure you can dance better than me. So,do the #DigitDance,shoot a video, spread the w… https://t.co/JywhRUWWGj"
Virat Kohli,These quicks are dominating everyday 👍🇮🇳 @mdsirajofficial @ImIshant https://t.co/anUrYhgaRu
Virat Kohli,"With Too Yumm! potato chips, my wait for Aloo ends here!!🙌Just like Inspector Shinde’s search for masala ends here.… https://t.co/6SRciu9ypK"
Virat Kohli,RT @AudiIN: Audi X @imVkohli: A partnership that keeps growing stronger and scaling new heights. Here’s to new milestones #MovingForward. h…
Virat Kohli,The sun brings out smiles 😃🌞 @RealShubmanGill @cheteshwar1 https://t.co/lD7u5oXvf2
Virat Kohli,I never claimed to be vegan. Always maintained I'm vegetarian. Take a deep breath and eat your Veggies (if you want 😉)💪😂✌️
Virat Kohli,"Happy b'day Ravi bhai . Have a good one 🤝☺️
@RaviShastriOfc"
Virat Kohli,@chetrisunil11 Yeah right skip. Aap Mauj lelo poori 😂
Virat Kohli,Accidental crossbar challenge 😂 https://t.co/koeSSKGQeb
Virat Kohli,Anushka and I appreciate each one of you who came forward to support the nation. We are truly grateful. Jai Hind 🇮🇳… https://t.co/ibpZ9Zzw3E
Virat Kohli,"Words fall short to express how overwhelmed we feel to have exceeded our target not once, but twice, thanks to each… https://t.co/DRek640XBl"
Virat Kohli,"In these unprecedented times, let the spirit of Eid bring love, peace and joy to all. Eid Mubarak. Stay safe. 🌙"
Virat Kohli,Thank you MPL Sports Foundation for your generous contribution of 5 crore in our fight against Covid-19. With your… https://t.co/3aRZQ3X6pZ
Virat Kohli,Thanks to each &amp; every one of you who has donated so far. But there is still so much to be done. Let us all continu… https://t.co/9DCC2GwTPn
Virat Kohli,"I have nothing but gratitude for all the healthcare &amp; frontline workers, I am in awe of their spirit and dedication… https://t.co/9WlwXizmFR"
Virat Kohli,3.6 crores in less than 24 hours! Overwhelmed with the response. Let’s keep fighting to meet our target and help th… https://t.co/Ar1N9vcw5c
Virat Kohli,"Requesting you all to come forward and show your support to our country and our people. We are #InThisTogether 

Li… https://t.co/TT1jBV3QjW"
Virat Kohli,"Anushka and I have started a campaign on @ketto, to raise funds for Covid-19 relief, and we would be grateful for y… https://t.co/IaHOjo2mT2"
Virat Kohli,One of the greatest to have ever played the game and an inspiration to many. Happy Birthday @sachin_rt paaji.
Virat Kohli,Si Señor! 💪🏼 And top signing for @pumacricket &amp; @RCBTweets ✍️😁 https://t.co/2NFMuqgqHB
Virat Kohli,"Another important win, great character shown by the boys. Onwards &amp; Upwards 🙌💪
#playbold 
@RCBTweets https://t.co/NJmezk1xgq"
Virat Kohli,❤️ https://t.co/GxUMRAfq5P
