,Index,Name,Tweets,Location,Subcategory,Unnamed: 5
152,111,BKieltArtist,Little bit of progress on this oil on board piece Art visualart ArtsNI Painting httpstcoKCSoaWR,Derry  Belfast,Painting,
153,113,BKieltArtist,Michael Armitage on LouisianaChann Art Painting httpstcowIHjrjHp,Derry  Belfast,Painting,
154,116,BKieltArtist,Unimpressed Painting in progress Art visualart ArtsNI WorkInProgress MixedMedia httpstcosNtbFCYEl,Derry  Belfast,Painting,
155,126,BKieltArtist,Large board on the go Art Painting ArtsNI WorkInProgress Pyramids Portrait httpstcoGFRPSdf,Derry  Belfast,Painting,
156,129,BKieltArtist,Repurposing old works Art Painting ArtsNI visualart WorkInProgress WIP PaintingInProgress portrait httpstcoNbCpJDRjm,Derry  Belfast,Painting,
157,133,BKieltArtist,Finished Painting Life is But a Dream Art VisualArt ArtsNI Detail MixedMedia httpstcoLUjZtZWTou,Derry  Belfast,Painting,
158,148,BKieltArtist,Finished Painting Galamseyer Oil Charcoal and Spray Paint on Canvas  cm x cm Art VisualArt ArtsNI httpstcoYHafCYCScD,Derry  Belfast,Painting,
159,151,BKieltArtist,Some shots of WorkInProgress today Art ArtsNI VisualArt Painting WIP httpstcoyEutmmzWw,Derry  Belfast,Painting,
160,154,BKieltArtist,RDH  JUNE  Blog VisualArt ArtsNI Painting RDH  httpstcoOhbKhHwgVU,Derry  Belfast,Painting,
161,155,BKieltArtist,Finished Painting Moon Boy Oil and Charcoal on Canvas cm x cm Art VisualArt ArtsNI httpstcoIxjKvxmK,Derry  Belfast,Painting,
162,159,BKieltArtist,StudioShot  Art Painting ArtsNI visualart WorkInProgress WIP PaintingInProgress portrait Study httpstcoDbJwLmtA,Derry  Belfast,Painting,
163,167,BKieltArtist,History Repeating Oil Charcoal and Photo Transfer on Canvas cm x cm Art Painting ArtsNI visualart httpstcocfybsBoQ,Derry  Belfast,Painting,
164,170,BKieltArtist,RDH  MAY  Blog May VisualArt ArtsNI Painting  httpstcoIZYkcWP,Derry  Belfast,Painting,
165,179,BKieltArtist,Working on figures today Art ArtsNI VisualArt Painting WorkInProgress WIP PaintingInProgress httpstcoXOlLfufH,Derry  Belfast,Painting,
166,183,BKieltArtist,"RT PaintingText New interview with the painter Shane Berkery now live 
httpstcodHWHylHUm",Derry  Belfast,Painting,
